User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Subscription Duration,Month Acquisition,Group Age
25,Basic,10,2023-03-14,2023-06-28,Germany,40,Female,Laptop,1 Month,106,3,40-44
26,Premium,15,2022-12-01,2023-06-27,France,29,Male,Smartphone,1 Month,208,12,25-29
27,Basic,10,2022-08-29,2023-06-25,Brazil,47,Female,Smart TV,1 Month,300,8,45-49
28,Standard,12,2021-09-27,2023-06-24,Mexico,33,Male,Tablet,1 Month,635,9,30-34
29,Premium,15,2022-12-19,2023-06-23,Spain,36,Female,Laptop,1 Month,186,12,35-39
30,Basic,10,2023-05-17,2023-06-22,Italy,42,Male,Smartphone,1 Month,36,5,40-44
31,Premium,15,2023-03-02,2023-06-22,United States,28,Female,Smart TV,1 Month,112,3,25-29
32,Basic,10,2022-07-07,2023-06-28,Canada,37,Male,Tablet,1 Month,356,7,35-39
33,Standard,12,2022-01-21,2023-06-27,United Kingdom,41,Female,Laptop,1 Month,522,1,40-44
34,Standard,12,2022-05-25,2023-06-26,Australia,29,Male,Smartphone,1 Month,397,5,25-29
36,Premium,15,2022-01-03,2023-06-27,France,35,Male,Tablet,1 Month,540,1,35-39
37,Basic,10,2022-09-14,2023-06-25,Brazil,45,Female,Laptop,1 Month,284,9,45-49
38,Standard,12,2021-05-11,2023-06-24,Mexico,32,Male,Smartphone,1 Month,774,5,30-34
39,Premium,15,2022-12-28,2023-06-23,Spain,27,Female,Smart TV,1 Month,177,12,25-29
41,Premium,15,2023-01-20,2023-06-22,United States,31,Female,Laptop,1 Month,153,1,30-34
42,Basic,10,2022-06-15,2023-06-28,Canada,40,Male,Smartphone,1 Month,378,6,40-44
43,Standard,12,2022-07-02,2023-06-27,United Kingdom,36,Female,Smart TV,1 Month,360,7,35-39
44,Standard,12,2022-04-26,2023-06-26,Australia,29,Male,Tablet,1 Month,426,4,25-29
45,Basic,10,2023-01-28,2023-06-28,Germany,43,Female,Laptop,1 Month,151,1,40-44
46,Premium,15,2022-02-23,2023-06-27,France,34,Male,Smartphone,1 Month,489,2,30-34
47,Basic,10,2022-05-10,2023-06-25,Brazil,39,Female,Smart TV,1 Month,411,5,35-39
48,Standard,12,2021-09-15,2023-06-24,Mexico,32,Male,Tablet,1 Month,647,9,30-34
49,Premium,15,2022-10-11,2023-06-23,Spain,28,Female,Laptop,1 Month,255,10,25-29
50,Basic,10,2023-02-06,2023-06-22,Italy,45,Male,Smartphone,1 Month,136,2,45-49
51,Premium,15,2023-02-27,2023-06-22,United States,30,Female,Smart TV,1 Month,115,2,30-34
52,Basic,10,2022-08-29,2023-06-28,Canada,37,Male,Tablet,1 Month,303,8,35-39
53,Standard,12,2022-01-13,2023-06-27,United Kingdom,41,Female,Laptop,1 Month,530,1,40-44
54,Standard,12,2022-06-30,2023-06-26,Australia,29,Male,Smartphone,1 Month,361,6,25-29
55,Basic,10,2023-04-20,2023-06-28,Germany,39,Female,Smart TV,1 Month,69,4,35-39
56,Premium,15,2022-03-15,2023-06-27,France,36,Male,Tablet,1 Month,469,3,35-39
57,Basic,10,2022-01-10,2023-06-25,Brazil,46,Female,Laptop,1 Month,531,1,45-49
58,Standard,12,2021-08-10,2023-06-24,Mexico,34,Male,Smartphone,1 Month,683,8,30-34
59,Premium,15,2022-03-12,2023-06-23,Spain,27,Female,Smart TV,1 Month,468,3,25-29
60,Basic,10,2023-06-14,2023-06-22,Italy,42,Male,Tablet,1 Month,8,6,40-44
62,Basic,10,2022-03-08,2023-06-28,Canada,37,Male,Smartphone,1 Month,477,3,35-39
63,Standard,12,2022-02-23,2023-06-27,United Kingdom,41,Female,Smart TV,1 Month,489,2,40-44
64,Standard,12,2022-06-20,2023-06-26,Australia,29,Male,Tablet,1 Month,371,6,25-29
65,Basic,10,2023-03-29,2023-06-28,Germany,40,Female,Laptop,1 Month,91,3,40-44
66,Premium,15,2022-01-30,2023-06-27,France,29,Male,Smartphone,1 Month,513,1,25-29
67,Basic,10,2022-09-18,2023-06-25,Brazil,47,Female,Smart TV,1 Month,280,9,45-49
68,Standard,12,2021-09-11,2023-06-24,Mexico,33,Male,Tablet,1 Month,651,9,30-34
69,Premium,15,2022-12-23,2023-06-23,Spain,36,Female,Laptop,1 Month,182,12,35-39
71,Basic,10,2022-01-26,2023-06-20,United States,27,Male,Smartphone,1 Month,510,1,25-29
72,Basic,10,2022-11-10,2023-06-22,Canada,31,Female,Smartphone,1 Month,224,11,30-34
73,Standard,12,2022-09-27,2023-06-26,United Kingdom,28,Female,Laptop,1 Month,272,9,25-29
74,Premium,13,2022-12-14,2023-06-25,Australia,41,Female,Smartphone,1 Month,193,12,40-44
75,Basic,13,2022-05-28,2023-06-26,Germany,28,Female,Laptop,1 Month,394,5,25-29
76,Basic,13,2021-12-29,2023-06-26,France,51,Female,Laptop,1 Month,544,12,50-54
77,Premium,15,2022-12-25,2023-06-23,Brazil,45,Female,Smartphone,1 Month,180,12,45-49
78,Standard,15,2022-11-18,2023-06-28,Mexico,49,Male,Tablet,1 Month,222,11,45-49
79,Standard,15,2022-03-12,2023-06-25,Spain,43,Female,Laptop,1 Month,470,3,40-44
80,Basic,12,2022-08-11,2023-06-22,Italy,43,Male,Tablet,1 Month,315,8,40-44
82,Standard,12,2022-07-12,2023-06-28,Canada,35,Male,Laptop,1 Month,351,7,35-39
83,Basic,10,2022-10-20,2023-06-26,United Kingdom,46,Female,Smartphone,1 Month,249,10,45-49
84,Standard,12,2023-04-13,2023-06-25,Australia,32,Male,Smartphone,1 Month,73,4,30-34
85,Premium,10,2023-06-04,2023-06-27,Germany,37,Female,Laptop,1 Month,23,6,35-39
86,Basic,11,2022-04-03,2023-06-25,France,29,Female,Smartphone,1 Month,448,4,25-29
87,Premium,15,2021-12-28,2023-06-23,Brazil,45,Male,Smart TV,1 Month,542,12,45-49
88,Standard,12,2022-09-27,2023-06-28,Mexico,47,Male,Tablet,1 Month,274,9,45-49
89,Basic,15,2022-10-20,2023-06-26,Spain,39,Male,Smartphone,1 Month,249,10,35-39
90,Standard,13,2023-03-02,2023-06-23,Italy,49,Female,Smartphone,1 Month,113,3,45-49
91,Premium,11,2022-03-10,2023-06-23,United States,39,Male,Tablet,1 Month,470,3,35-39
92,Basic,14,2022-05-01,2023-06-28,Canada,39,Male,Smart TV,1 Month,423,5,35-39
93,Standard,12,2022-05-02,2023-06-26,United Kingdom,35,Male,Smartphone,1 Month,420,5,35-39
94,Premium,12,2022-03-19,2023-06-25,Australia,44,Male,Smartphone,1 Month,463,3,40-44
95,Basic,11,2022-02-28,2023-06-25,Germany,34,Male,Laptop,1 Month,482,2,30-34
96,Premium,14,2022-07-26,2023-06-24,France,32,Male,Laptop,1 Month,333,7,30-34
97,Basic,10,2022-05-03,2023-06-24,Brazil,29,Female,Tablet,1 Month,417,5,25-29
98,Standard,13,2022-07-03,2023-06-28,Mexico,31,Female,Tablet,1 Month,360,7,30-34
99,Standard,12,2023-01-13,2023-06-24,Spain,29,Female,Tablet,1 Month,162,1,25-29
100,Basic,12,2023-01-22,2023-06-25,Italy,35,Male,Laptop,1 Month,154,1,35-39
101,Premium,11,2022-10-17,2023-06-24,United States,46,Female,Tablet,1 Month,250,10,45-49
102,Basic,12,2022-03-29,2023-06-28,Canada,31,Male,Tablet,1 Month,456,3,30-34
103,Standard,13,2022-04-04,2023-06-26,United Kingdom,36,Male,Laptop,1 Month,448,4,35-39
104,Premium,10,2022-08-06,2023-06-25,Australia,38,Male,Laptop,1 Month,323,8,35-39
105,Basic,11,2022-04-03,2023-06-27,Germany,46,Female,Laptop,1 Month,450,4,45-49
106,Premium,10,2022-03-18,2023-06-24,France,49,Female,Tablet,1 Month,463,3,45-49
107,Basic,14,2022-07-03,2023-06-24,Brazil,29,Female,Smart TV,1 Month,356,7,25-29
108,Standard,12,2022-05-24,2023-06-25,Mexico,27,Female,Smart TV,1 Month,397,5,25-29
110,Basic,13,2023-01-26,2023-06-24,Italy,37,Female,Laptop,1 Month,149,1,35-39
111,Premium,14,2022-07-14,2023-06-27,United States,40,Male,Tablet,1 Month,348,7,40-44
112,Basic,10,2022-01-06,2023-06-28,Canada,33,Female,Laptop,1 Month,538,1,30-34
113,Standard,15,2022-07-05,2023-06-26,United Kingdom,37,Male,Tablet,1 Month,356,7,35-39
114,Premium,10,2022-11-18,2023-06-25,Australia,48,Male,Smartphone,1 Month,219,11,45-49
115,Basic,11,2022-05-04,2023-06-25,Germany,50,Female,Laptop,1 Month,417,5,50-54
116,Premium,14,2022-05-19,2023-06-23,France,45,Female,Smart TV,1 Month,400,5,45-49
117,Basic,15,2021-10-30,2023-06-23,Brazil,40,Female,Tablet,1 Month,601,10,40-44
118,Standard,12,2022-07-08,2023-06-27,Mexico,33,Male,Smartphone,1 Month,354,7,30-34
119,Standard,11,2022-09-20,2023-06-25,Spain,44,Female,Smartphone,1 Month,278,9,40-44
120,Basic,10,2022-10-18,2023-06-25,Italy,30,Female,Smart TV,1 Month,250,10,30-34
121,Premium,15,2022-03-10,2023-06-24,United States,27,Male,Smart TV,1 Month,471,3,25-29
122,Basic,11,2022-03-05,2023-06-28,Canada,51,Male,Smart TV,1 Month,480,3,50-54
123,Standard,13,2022-05-25,2023-06-26,United Kingdom,49,Female,Smartphone,1 Month,397,5,45-49
124,Premium,15,2022-05-11,2023-06-25,Australia,43,Male,Laptop,1 Month,410,5,40-44
125,Basic,12,2022-08-21,2023-06-24,Germany,42,Male,Smartphone,1 Month,307,8,40-44
126,Premium,13,2022-09-21,2023-06-23,France,45,Male,Laptop,1 Month,275,9,45-49
127,Basic,10,2021-11-23,2023-06-23,Brazil,36,Male,Smartphone,1 Month,577,11,35-39
128,Standard,12,2022-06-10,2023-06-27,Mexico,48,Male,Smartphone,1 Month,382,6,45-49
129,Standard,13,2022-05-11,2023-06-23,Spain,38,Male,Smart TV,1 Month,408,5,35-39
131,Premium,15,2022-06-10,2023-06-23,United States,47,Male,Laptop,1 Month,378,6,45-49
132,Basic,15,2022-06-24,2023-06-28,Canada,48,Female,Smart TV,1 Month,369,6,45-49
133,Standard,13,2022-06-24,2023-06-26,United Kingdom,47,Male,Smart TV,1 Month,367,6,45-49
134,Premium,15,2022-05-11,2023-06-25,Australia,32,Male,Tablet,1 Month,410,5,30-34
135,Basic,13,2022-07-18,2023-06-26,Germany,47,Female,Smart TV,1 Month,343,7,45-49
136,Premium,12,2022-09-13,2023-06-26,France,41,Female,Smart TV,1 Month,286,9,40-44
137,Basic,12,2022-10-08,2023-06-22,Brazil,49,Male,Laptop,1 Month,257,10,45-49
138,Standard,15,2022-09-21,2023-06-23,Mexico,28,Male,Laptop,1 Month,275,9,25-29
139,Standard,13,2023-03-24,2023-06-23,Spain,40,Male,Smartphone,1 Month,91,3,40-44
140,Basic,12,2022-02-05,2023-06-23,Italy,43,Female,Smartphone,1 Month,503,2,40-44
141,Premium,12,2022-11-05,2023-06-27,United States,42,Male,Smartphone,1 Month,234,11,40-44
142,Basic,14,2022-10-06,2023-06-22,Canada,28,Male,Smart TV,1 Month,259,10,25-29
143,Standard,14,2022-08-31,2023-06-24,United Kingdom,30,Female,Tablet,1 Month,297,8,30-34
144,Premium,10,2022-08-17,2023-06-26,Australia,33,Male,Smart TV,1 Month,313,8,30-34
145,Basic,11,2022-05-05,2023-06-26,Germany,35,Female,Laptop,1 Month,417,5,35-39
146,Basic,10,2022-06-10,2023-06-25,France,38,Male,Tablet,1 Month,380,6,35-39
147,Basic,12,2022-08-11,2023-06-24,Brazil,49,Female,Laptop,1 Month,317,8,45-49
148,Standard,15,2022-11-27,2023-06-28,Mexico,39,Female,Smartphone,1 Month,213,11,35-39
149,Premium,13,2022-11-17,2023-06-27,Spain,46,Female,Smart TV,1 Month,222,11,45-49
150,Basic,10,2022-12-15,2023-06-23,Italy,47,Female,Laptop,1 Month,190,12,45-49
151,Basic,15,2022-12-12,2023-06-25,United States,30,Female,Laptop,1 Month,195,12,30-34
152,Premium,14,2022-11-23,2023-06-27,Canada,33,Female,Tablet,1 Month,216,11,30-34
153,Standard,11,2022-12-25,2023-06-24,United Kingdom,47,Male,Smartphone,1 Month,181,12,45-49
155,Basic,14,2022-11-18,2023-06-27,Germany,28,Male,Tablet,1 Month,221,11,25-29
156,Premium,15,2022-08-19,2023-06-25,France,47,Male,Smartphone,1 Month,310,8,45-49
157,Standard,14,2022-09-27,2023-06-24,Brazil,30,Male,Laptop,1 Month,270,9,30-34
158,Basic,13,2022-10-19,2023-06-28,Mexico,47,Female,Smartphone,1 Month,252,10,45-49
159,Standard,10,2022-12-21,2023-06-26,Spain,51,Female,Smart TV,1 Month,187,12,50-54
160,Premium,15,2022-10-27,2023-06-25,Italy,39,Male,Smartphone,1 Month,241,10,35-39
161,Basic,10,2022-10-23,2023-06-24,United States,45,Male,Tablet,1 Month,244,10,45-49
162,Premium,15,2022-04-19,2023-06-25,Canada,31,Male,Laptop,1 Month,432,4,30-34
163,Standard,11,2022-05-04,2023-06-26,United Kingdom,29,Male,Laptop,1 Month,418,5,25-29
164,Basic,11,2022-11-03,2023-06-26,Australia,42,Female,Tablet,1 Month,235,11,40-44
165,Standard,14,2022-05-25,2023-06-25,Germany,49,Male,Tablet,1 Month,396,5,45-49
166,Premium,13,2022-04-16,2023-06-26,France,42,Male,Laptop,1 Month,436,4,40-44
167,Basic,13,2022-07-04,2023-06-24,Brazil,29,Male,Smartphone,1 Month,355,7,25-29
168,Standard,10,2022-11-12,2023-06-28,Mexico,29,Male,Tablet,1 Month,228,11,25-29
169,Premium,12,2023-01-20,2023-06-26,Spain,49,Male,Tablet,1 Month,157,1,45-49
171,Premium,11,2022-04-29,2023-06-24,United States,35,Female,Tablet,1 Month,421,4,35-39
172,Basic,12,2022-04-27,2023-06-26,Canada,39,Female,Smartphone,1 Month,425,4,35-39
173,Standard,15,2022-03-06,2023-06-25,United Kingdom,40,Male,Smartphone,1 Month,476,3,40-44
174,Standard,14,2022-04-23,2023-06-25,Australia,39,Female,Tablet,1 Month,428,4,35-39
175,Basic,10,2022-04-22,2023-06-26,Germany,47,Female,Laptop,1 Month,430,4,45-49
176,Premium,13,2022-12-04,2023-06-25,France,37,Female,Smart TV,1 Month,203,12,35-39
177,Basic,15,2022-05-23,2023-06-26,Brazil,27,Female,Smartphone,1 Month,399,5,25-29
178,Standard,13,2022-10-19,2023-06-26,Mexico,49,Female,Laptop,1 Month,250,10,45-49
179,Premium,10,2022-03-12,2023-06-26,Spain,30,Female,Tablet,1 Month,471,3,30-34
180,Basic,14,2022-09-26,2023-06-25,Italy,36,Male,Laptop,1 Month,272,9,35-39
181,Premium,15,2022-06-16,2023-06-27,United States,33,Male,Smartphone,1 Month,376,6,30-34
182,Basic,13,2022-05-16,2023-06-25,Canada,30,Female,Laptop,1 Month,405,5,30-34
183,Standard,15,2022-05-26,2023-06-26,United Kingdom,36,Female,Tablet,1 Month,396,5,35-39
184,Standard,13,2022-04-26,2023-06-25,Australia,28,Female,Laptop,1 Month,425,4,25-29
185,Basic,11,2022-12-05,2023-06-25,Germany,47,Female,Tablet,1 Month,202,12,45-49
186,Premium,12,2022-01-03,2023-06-25,France,33,Female,Smart TV,1 Month,538,1,30-34
187,Basic,13,2022-10-07,2023-06-24,Brazil,49,Female,Laptop,1 Month,260,10,45-49
188,Standard,15,2022-07-16,2023-06-27,Mexico,44,Female,Smart TV,1 Month,346,7,40-44
189,Premium,13,2022-02-09,2023-06-26,Spain,47,Male,Smart TV,1 Month,502,2,45-49
190,Basic,11,2022-09-18,2023-06-26,Italy,37,Female,Tablet,1 Month,281,9,35-39
191,Premium,10,2022-08-07,2023-06-25,United States,46,Male,Laptop,1 Month,322,8,45-49
192,Basic,14,2022-06-26,2023-06-27,Canada,50,Female,Smartphone,1 Month,366,6,50-54
193,Standard,11,2022-05-08,2023-06-25,United Kingdom,50,Male,Laptop,1 Month,413,5,50-54
194,Standard,14,2022-08-19,2023-06-27,Australia,37,Male,Laptop,1 Month,312,8,35-39
195,Basic,11,2022-08-26,2023-06-24,Germany,50,Female,Smartphone,1 Month,302,8,50-54
196,Premium,13,2022-09-06,2023-06-24,France,45,Female,Smart TV,1 Month,291,9,45-49
197,Basic,14,2022-09-27,2023-06-23,Brazil,45,Male,Tablet,1 Month,269,9,45-49
198,Standard,10,2022-10-18,2023-06-27,Mexico,49,Female,Laptop,1 Month,252,10,45-49
199,Premium,14,2022-10-31,2023-06-25,Spain,39,Female,Tablet,1 Month,237,10,35-39
200,Basic,11,2022-10-13,2023-06-25,Italy,45,Female,Tablet,1 Month,255,10,45-49
201,Premium,11,2022-04-07,2023-06-27,United States,49,Female,Smart TV,1 Month,446,4,45-49
202,Basic,12,2022-06-26,2023-06-27,Canada,31,Female,Tablet,1 Month,366,6,30-34
203,Standard,13,2022-07-31,2023-06-24,United Kingdom,42,Female,Smart TV,1 Month,328,7,40-44
204,Standard,12,2022-07-27,2023-06-24,Australia,37,Male,Smartphone,1 Month,332,7,35-39
205,Basic,12,2022-07-30,2023-06-25,Germany,30,Male,Smart TV,1 Month,330,7,30-34
206,Premium,11,2022-06-08,2023-06-25,France,40,Male,Smartphone,1 Month,382,6,40-44
207,Basic,15,2022-09-16,2023-06-24,Brazil,45,Female,Smartphone,1 Month,281,9,45-49
208,Standard,15,2023-05-01,2023-06-23,Mexico,36,Female,Tablet,1 Month,53,5,35-39
209,Premium,11,2022-10-12,2023-06-24,Spain,41,Male,Laptop,1 Month,255,10,40-44
210,Basic,14,2022-11-22,2023-06-26,Italy,49,Female,Laptop,1 Month,216,11,45-49
211,Premium,15,2022-11-15,2023-06-27,United States,40,Male,Tablet,1 Month,224,11,40-44
212,Basic,11,2022-10-28,2023-06-26,Canada,36,Male,Smart TV,1 Month,241,10,35-39
213,Standard,12,2022-08-09,2023-06-24,United Kingdom,49,Female,Smart TV,1 Month,319,8,45-49
214,Standard,13,2022-06-30,2023-06-28,Australia,43,Female,Laptop,1 Month,363,6,40-44
215,Basic,13,2022-02-09,2023-06-27,Germany,50,Female,Smartphone,1 Month,503,2,50-54
216,Premium,14,2022-08-10,2023-06-24,France,51,Female,Smart TV,1 Month,318,8,50-54
217,Basic,15,2022-11-13,2023-06-25,Brazil,44,Male,Smart TV,1 Month,224,11,40-44
218,Standard,12,2022-11-15,2023-06-28,Mexico,27,Male,Tablet,1 Month,225,11,25-29
219,Premium,12,2022-11-16,2023-06-25,Spain,46,Female,Smartphone,1 Month,221,11,45-49
220,Basic,12,2022-11-26,2023-06-27,Italy,29,Male,Tablet,1 Month,213,11,25-29
221,Basic,12,2022-11-26,2023-06-25,United States,47,Male,Smartphone,1 Month,211,11,45-49
222,Basic,10,2022-12-12,2023-06-26,Canada,48,Female,Smartphone,1 Month,196,12,45-49
224,Premium,15,2022-11-27,2023-06-29,Australia,40,Female,Smartphone,1 Month,214,11,40-44
225,Basic,14,2022-11-10,2023-06-27,Germany,48,Female,Smartphone,1 Month,229,11,45-49
226,Basic,10,2022-09-27,2023-06-26,France,35,Male,Smartphone,1 Month,272,9,35-39
227,Premium,12,2022-09-30,2023-06-24,Brazil,51,Female,Smartphone,1 Month,267,9,50-54
228,Standard,10,2022-04-11,2023-06-27,Mexico,39,Male,Smart TV,1 Month,442,4,35-39
229,Standard,13,2022-04-11,2023-06-27,Spain,29,Male,Smartphone,1 Month,442,4,25-29
230,Basic,12,2022-10-30,2023-06-26,Italy,51,Male,Laptop,1 Month,239,10,50-54
231,Premium,11,2022-10-29,2023-06-24,United States,43,Male,Smartphone,1 Month,238,10,40-44
232,Standard,11,2022-08-30,2023-06-27,Canada,28,Male,Smartphone,1 Month,301,8,25-29
233,Basic,15,2022-07-07,2023-06-26,United Kingdom,50,Female,Smart TV,1 Month,354,7,50-54
234,Standard,14,2022-05-26,2023-06-27,Australia,44,Female,Laptop,1 Month,397,5,40-44
235,Premium,11,2022-05-17,2023-06-25,Germany,50,Male,Laptop,1 Month,404,5,50-54
236,Basic,11,2022-08-05,2023-06-26,France,39,Female,Smartphone,1 Month,325,8,35-39
237,Premium,13,2022-07-07,2023-06-25,Brazil,46,Female,Tablet,1 Month,353,7,45-49
238,Standard,15,2022-07-17,2023-06-28,Mexico,48,Male,Smartphone,1 Month,346,7,45-49
239,Basic,15,2022-12-23,2023-06-26,Spain,38,Male,Smart TV,1 Month,185,12,35-39
240,Standard,13,2022-06-27,2023-06-26,Italy,38,Male,Smartphone,1 Month,364,6,35-39
241,Premium,13,2022-05-31,2023-06-27,United States,47,Male,Laptop,1 Month,392,5,45-49
242,Basic,12,2022-02-06,2023-06-26,Canada,37,Male,Laptop,1 Month,505,2,35-39
243,Standard,11,2022-05-25,2023-06-27,United Kingdom,33,Male,Laptop,1 Month,398,5,30-34
244,Premium,15,2022-04-26,2023-06-26,Australia,28,Male,Smartphone,1 Month,426,4,25-29
245,Basic,13,2022-04-20,2023-06-26,Germany,47,Male,Smart TV,1 Month,432,4,45-49
246,Premium,11,2022-03-05,2023-06-25,France,38,Female,Smartphone,1 Month,477,3,35-39
247,Basic,12,2022-07-07,2023-06-27,Brazil,27,Male,Smart TV,1 Month,355,7,25-29
248,Standard,13,2022-09-15,2023-06-26,Mexico,34,Male,Smartphone,1 Month,284,9,30-34
249,Standard,14,2022-09-16,2023-06-27,Spain,42,Female,Smartphone,1 Month,284,9,40-44
250,Basic,14,2022-09-08,2023-06-26,Italy,28,Male,Laptop,1 Month,291,9,25-29
251,Premium,15,2022-06-25,2023-06-27,United States,30,Male,Laptop,1 Month,367,6,30-34
252,Basic,11,2022-05-30,2023-06-26,Canada,38,Female,Smartphone,1 Month,392,5,35-39
253,Standard,15,2022-05-21,2023-06-25,United Kingdom,45,Female,Tablet,1 Month,400,5,45-49
254,Premium,12,2022-05-20,2023-06-27,Australia,48,Female,Smart TV,1 Month,403,5,45-49
255,Basic,13,2022-05-20,2023-06-26,Germany,46,Female,Smart TV,1 Month,402,5,45-49
256,Premium,12,2022-05-30,2023-06-26,France,34,Male,Tablet,1 Month,392,5,30-34
257,Basic,13,2022-06-17,2023-06-25,Brazil,46,Male,Laptop,1 Month,373,6,45-49
258,Standard,11,2022-07-16,2023-06-28,Mexico,41,Female,Smartphone,1 Month,347,7,40-44
259,Standard,15,2022-05-08,2023-06-26,Spain,28,Male,Smartphone,1 Month,414,5,25-29
260,Basic,10,2022-07-17,2023-06-26,Italy,27,Female,Smartphone,1 Month,344,7,25-29
261,Premium,13,2022-04-07,2023-06-25,United States,27,Female,Smart TV,1 Month,444,4,25-29
262,Basic,12,2022-07-13,2023-06-26,Canada,28,Female,Tablet,1 Month,348,7,25-29
263,Standard,15,2022-07-25,2023-06-24,United Kingdom,46,Male,Smartphone,1 Month,334,7,45-49
264,Premium,10,2022-09-08,2023-06-27,Australia,51,Male,Smartphone,1 Month,292,9,50-54
265,Basic,11,2022-05-08,2023-06-25,Germany,32,Female,Smart TV,1 Month,413,5,30-34
266,Premium,10,2022-08-17,2023-06-26,France,44,Male,Tablet,1 Month,313,8,40-44
267,Basic,11,2022-08-09,2023-06-27,Brazil,44,Female,Laptop,1 Month,322,8,40-44
268,Standard,13,2022-10-16,2023-06-28,Mexico,34,Female,Smart TV,1 Month,255,10,30-34
269,Standard,13,2022-10-15,2023-06-25,Spain,29,Female,Laptop,1 Month,253,10,25-29
270,Basic,12,2022-04-09,2023-06-25,Italy,47,Male,Smart TV,1 Month,442,4,45-49
271,Premium,14,2022-08-20,2023-06-26,United States,41,Male,Laptop,1 Month,310,8,40-44
272,Basic,10,2022-10-08,2023-06-26,Canada,36,Female,Smartphone,1 Month,261,10,35-39
273,Standard,12,2022-02-08,2023-06-25,United Kingdom,28,Female,Laptop,1 Month,502,2,25-29
274,Premium,10,2022-01-08,2023-06-24,Australia,27,Female,Tablet,1 Month,532,1,25-29
275,Basic,15,2022-06-08,2023-06-25,Germany,34,Female,Laptop,1 Month,382,6,30-34
276,Premium,14,2022-09-08,2023-06-25,France,34,Female,Smart TV,1 Month,290,9,30-34
277,Basic,13,2022-12-09,2023-06-26,Brazil,37,Female,Tablet,1 Month,199,12,35-39
278,Standard,14,2022-09-27,2023-06-26,Mexico,34,Female,Laptop,1 Month,272,9,30-34
279,Standard,15,2022-12-11,2023-06-24,Spain,50,Female,Laptop,1 Month,195,12,50-54
280,Basic,12,2022-11-13,2023-06-27,Italy,34,Female,Laptop,1 Month,226,11,30-34
281,Premium,12,2022-02-11,2023-06-28,United States,33,Female,Smart TV,1 Month,502,2,30-34
282,Basic,11,2022-10-30,2023-06-25,Canada,33,Male,Smart TV,1 Month,238,10,30-34
283,Standard,15,2022-06-30,2023-06-26,United Kingdom,46,Male,Smartphone,1 Month,361,6,45-49
284,Premium,14,2022-04-08,2023-06-28,Australia,39,Female,Smartphone,1 Month,446,4,35-39
285,Basic,10,2022-01-09,2023-06-27,Germany,42,Female,Laptop,1 Month,534,1,40-44
286,Premium,14,2022-10-14,2023-06-27,France,50,Female,Laptop,1 Month,256,10,50-54
287,Basic,10,2022-10-16,2023-06-26,Brazil,43,Male,Smartphone,1 Month,253,10,40-44
288,Standard,14,2022-10-20,2023-06-28,Mexico,51,Male,Smart TV,1 Month,251,10,50-54
289,Standard,15,2022-11-20,2023-06-25,Spain,34,Female,Smart TV,1 Month,217,11,30-34
290,Basic,12,2022-11-25,2023-06-30,Italy,48,Male,Smartphone,1 Month,217,11,45-49
291,Premium,13,2022-04-12,2023-06-27,United States,29,Female,Tablet,1 Month,441,4,25-29
